month,kpix
1980.0,10.8
1980.0833333333333,11.2
1980.1666666666667,11.2
1980.25,11.3
1980.3333333333333,11.0
1980.4166666666667,10.7
1980.5,11.1
1980.5833333333333,10.1
1980.6666666666667,11.0
1980.75,11.3
1980.8333333333333,10.6
1980.9166666666667,10.8
1981.0,9.8
1981.0833333333333,9.7
1981.1666666666667,9.7
1981.25,9.6
1981.3333333333333,9.9
1981.4166666666667,10.1
1981.5,10.1
1981.5833333333333,10.3
1981.6666666666667,9.7
1981.75,10.0
1981.8333333333333,9.7
1981.9166666666667,9.8
1982.0,10.4
1982.0833333333333,10.9
1982.1666666666667,11.0
1982.25,10.9
1982.3333333333333,10.6
1982.4166666666667,10.5
1982.5,10.2
1982.5833333333333,9.6
1982.6666666666667,9.4
1982.75,9.8
1982.8333333333333,10.3
1982.9166666666667,10.1
1983.0,8.6
1983.0833333333333,7.4
1983.1666666666667,7.1
1983.25,7.7
1983.3333333333333,8.1
1983.4166666666667,8.4
1983.5,8.6
1983.5833333333333,8.9
1983.6666666666667,9.1
1983.75,8.5
1983.8333333333333,8.1
1983.9166666666667,8.3
1984.0,8.7
1984.0833333333333,7.8
1984.1666666666667,9.1
1984.25,8.6
1984.3333333333333,8.7
1984.4166666666667,7.7
1984.5,6.7
1984.5833333333333,7.0
1984.6666666666667,6.9
1984.75,6.5
1984.8333333333333,6.7
1984.9166666666667,6.9
1985.0,6.1
1985.0833333333333,7.6
1985.1666666666667,6.8
1985.25,6.5
1985.3333333333333,6.1
1985.4166666666667,6.0
1985.5,6.4
1985.5833333333333,5.4
1985.6666666666667,5.2
1985.75,5.4
1985.8333333333333,5.4
1985.9166666666667,5.1
1986.0,5.5
1986.0833333333333,4.8
1986.1666666666667,4.1
1986.25,4.3
1986.3333333333333,4.1
1986.4166666666667,4.5
1986.5,4.6
1986.5833333333333,4.6
1986.6666666666667,5.1
1986.75,5.0
1986.8333333333333,4.3
1986.9166666666667,4.1
1987.0,4.2
1987.0833333333333,4.1
1987.1666666666667,4.2
1987.25,3.8
1987.3333333333333,3.7
1987.4166666666667,3.3
1987.5,4.1
1987.5833333333333,4.8
1987.6666666666667,4.8
1987.75,4.7
1987.8333333333333,5.0
1987.9166666666667,4.8
1988.0,4.1
1988.0833333333333,4.8
1988.1666666666667,5.1
1988.25,5.4
1988.3333333333333,5.5
1988.4166666666667,6.0
1988.5,5.4
1988.5833333333333,5.1
1988.6666666666667,4.9
1988.75,5.3
1988.8333333333333,5.1
1988.9166666666667,5.3
1989.0,6.1
1989.0833333333333,5.8
1989.1666666666667,5.7
1989.25,6.1
1989.3333333333333,6.3
1989.4166666666667,6.3
1989.5,5.7
1989.5833333333333,5.9
1989.6666666666667,5.9
1989.75,6.0
1989.8333333333333,5.9
1989.9166666666667,6.0
1990.0,6.8
1990.0833333333333,6.7
1990.1666666666667,7.4
1990.25,6.8
1990.3333333333333,6.8
1990.4166666666667,6.8
1990.5,7.2
1990.5833333333333,7.5
1990.6666666666667,7.9
1990.75,7.6
1990.8333333333333,7.6
1990.9166666666667,7.0
1991.0,5.7
1991.0833333333333,8.6
1991.1666666666667,8.0
1991.25,8.1
1991.3333333333333,7.8
1991.4166666666667,7.7
1991.5,7.6
1991.5833333333333,6.6
1991.6666666666667,6.5
1991.75,6.1
1991.8333333333333,6.5
1991.9166666666667,6.3
1992.0,6.5
1992.0833333333333,3.4
1992.1666666666667,3.4
1992.25,3.1
1992.3333333333333,3.1
1992.4166666666667,2.7
1992.5,2.5
1992.5833333333333,2.7
1992.6666666666667,2.5
1992.75,2.4
1992.8333333333333,1.6
1992.9166666666667,2.3
1993.0,2.5
1993.0833333333333,3.0
1993.1666666666667,3.1
1993.25,3.2
1993.3333333333333,2.9
1993.4166666666667,3.0
1993.5,3.1
1993.5833333333333,3.2
1993.6666666666667,3.4
1993.75,3.4
1993.8333333333333,3.9
1993.9166666666667,3.4
1994.0,2.3
1994.0833333333333,2.1
1994.1666666666667,2.0
1994.25,2.0
1994.3333333333333,2.5
1994.4166666666667,2.8
1994.5,2.8
1994.5833333333333,2.7
1994.6666666666667,2.6
1994.75,2.4
1994.8333333333333,2.2
1994.9166666666667,2.3
1995.0,2.5
1995.0833333333333,2.5
1995.1666666666667,2.5
1995.25,2.7
1995.3333333333333,2.6
1995.4166666666667,2.6
1995.5,2.5
1995.5833333333333,2.3
1995.6666666666667,2.2
1995.75,2.2
1995.8333333333333,2.3
1995.9166666666667,2.1
1996.0,2.5
1996.0833333333333,2.3
1996.1666666666667,2.4
1996.25,2.2
1996.3333333333333,2.1
1996.4166666666667,1.9
1996.5,1.9
1996.5833333333333,1.7
1996.6666666666667,1.4
1996.75,1.5
1996.8333333333333,1.3
1996.9166666666667,1.6
1997.0,0.9
1997.0833333333333,0.7
1997.1666666666667,0.6
1997.25,0.8
1997.3333333333333,0.8
1997.4166666666667,1.4
1997.5,0.9
1997.5833333333333,1.0
1997.6666666666667,1.5
1997.75,1.5
1997.8333333333333,1.5
1997.9166666666667,1.5
1998.0,1.0
1998.0833333333333,1.0
1998.1666666666667,0.7
1998.25,0.4
1998.3333333333333,0.8
1998.4166666666667,0.5
1998.5,0.7
1998.5833333333333,0.9
1998.6666666666667,0.3
1998.75,0.4
1998.8333333333333,0.3
1998.9166666666667,0.3
1999.0,1.2
1999.0833333333333,1.3
1999.1666666666667,1.6
1999.25,1.5
1999.3333333333333,1.3
1999.4166666666667,1.7
1999.5,1.4
1999.5833333333333,1.6
1999.6666666666667,2.0
1999.75,1.8
1999.8333333333333,1.7
1999.9166666666667,2.0
2000.0,0.8
2000.0833333333333,1.2
2000.1666666666667,1.1
2000.25,0.7
2000.3333333333333,1.0
2000.4166666666667,0.8
2000.5,0.7
2000.5833333333333,0.8
2000.6666666666667,0.8
2000.75,0.9
2000.8333333333333,1.2
2000.9166666666667,0.8
2001.0,1.3
2001.0833333333333,1.3
2001.1666666666667,1.6
2001.25,2.7
2001.3333333333333,2.9
2001.4166666666667,2.7
2001.5,2.6
2001.5833333333333,2.8
2001.6666666666667,3.1
2001.75,2.8
2001.8333333333333,2.8
2001.9166666666667,3.1
2002.0,3.2
2002.0833333333333,3.1
2002.1666666666667,3.2
2002.25,2.6
2002.3333333333333,2.0
2002.4166666666667,2.0
2002.5,2.2
2002.5833333333333,2.1
2002.6666666666667,1.7
2002.75,2.1
2002.8333333333333,1.9
2002.9166666666667,2.0
2003.0,2.5
2003.0833333333333,3.2
2003.1666666666667,2.8
2003.25,2.2
2003.3333333333333,1.9
2003.4166666666667,2.0
2003.5,2.2
2003.5833333333333,2.1
2003.6666666666667,2.0
2003.75,1.7
2003.8333333333333,1.8
2003.9166666666667,1.6
2004.0,1.0
2004.0833333333333,0.0
2004.1666666666667,0.3
2004.25,0.8
2004.3333333333333,1.3
2004.4166666666667,0.9
2004.5,1.0
2004.5833333333333,0.9
2004.6666666666667,0.9
2004.75,1.2
2004.8333333333333,0.8
2004.9166666666667,0.7
2005.0,0.4
2005.0833333333333,1.1
2005.1666666666667,0.5
2005.25,0.4
2005.3333333333333,0.2
2005.4166666666667,0.7
2005.5,0.7
2005.5833333333333,1.0
2005.6666666666667,1.0
2005.75,0.8
2005.8333333333333,1.1
2005.9166666666667,1.2
2006.0,0.9
2006.0833333333333,0.8
2006.1666666666667,1.2
2006.25,1.5
2006.3333333333333,1.6
2006.4166666666667,1.5
2006.5,1.4
2006.5833333333333,1.2
2006.6666666666667,1.0
2006.75,1.0
2006.8333333333333,1.3
2006.9166666666667,1.2
2007.0,1.2
2007.0833333333333,1.3
2007.1666666666667,1.2
2007.25,1.2
2007.3333333333333,0.9
2007.4166666666667,1.0
2007.5,1.0
2007.5833333333333,0.7
2007.6666666666667,1.0
2007.75,1.4
2007.8333333333333,1.9
2007.9166666666667,2.0
2008.0,2.1
2008.0833333333333,2.0
2008.1666666666667,2.3
2008.25,2.3
2008.3333333333333,2.8
2008.4166666666667,3.1
2008.5,3.0
2008.5833333333333,3.2
2008.6666666666667,3.4
2008.75,2.7
2008.8333333333333,1.6
2008.9166666666667,1.4
2009.0,1.7
2009.0833333333333,1.9
2009.1666666666667,1.5
2009.25,1.4
2009.3333333333333,1.3
2009.4166666666667,1.2
2009.5,1.3
2009.5833333333333,1.4
2009.6666666666667,0.9
2009.75,1.4
2009.8333333333333,1.9
2009.9166666666667,2.4
2010.0,2.6
2010.0833333333333,2.6
2010.1666666666667,2.4
2010.25,2.0
2010.3333333333333,1.8
2010.4166666666667,1.6
2010.5,1.1
2010.5833333333333,1.2
2010.6666666666667,1.5
2010.75,1.5
2010.8333333333333,1.6
2010.9166666666667,2.0
2011.0,1.1
2011.0833333333333,1.0
2011.1666666666667,1.1
2011.25,1.5
2011.3333333333333,1.4
2011.4166666666667,1.2
2011.5,1.4
2011.5833333333333,1.4
2011.6666666666667,1.3
2011.75,0.9
2011.8333333333333,0.9
2011.9166666666667,0.3
2012.0,1.0
2012.0833333333333,1.2
2012.1666666666667,1.2
2012.25,1.1
2012.3333333333333,1.0
2012.4166666666667,1.1
2012.5,0.9
2012.5833333333333,1.0
2012.6666666666667,1.1
2012.75,1.3
2012.8333333333333,0.9
2012.9166666666667,1.2
2013.0,0.7
2013.0833333333333,0.5
2013.1666666666667,0.6
2013.25,0.1
2013.3333333333333,0.3
2013.4166666666667,0.5
2013.5,0.8
2013.5833333333333,0.8
2013.6666666666667,0.5
2013.75,0.2
2013.8333333333333,0.3
2013.9166666666667,0.3
2014.0,0.1
2014.0833333333333,0.1
2014.1666666666667,-0.4
2014.25,0.2
2014.3333333333333,0.1
2014.4166666666667,0.5
2014.5,0.3
2014.5833333333333,0.2
2014.6666666666667,0.0
2014.75,0.3
2014.8333333333333,0.3
2014.9166666666667,0.2
2015.0,0.1
2015.0833333333333,0.4
2015.1666666666667,0.5
2015.25,0.2
2015.3333333333333,0.6
2015.4166666666667,0.1
2015.5,0.5
2015.5833333333333,0.4
2015.6666666666667,0.6
2015.75,0.7
2015.8333333333333,0.6
2015.9166666666667,0.5
